idx,subset,complete,feasible,cert,boxes,peak_queue,max_depth,dom_excl,unresolved,downgrade,secs
543,"(1, 2, 8, 10, 14)",True,1,1,9397,20,25,0,0,,57.0
539,"(1, 2, 8, 9, 20)",True,1,1,4219,47,60,0,0,,66.8
545,"(1, 2, 8, 10, 16)",True,0,0,973,11,14,0,0,,5.2
547,"(1, 2, 8, 10, 18)",True,0,0,275,7,11,0,0,,1.4
549,"(1, 2, 8, 10, 20)",True,0,0,613,14,16,0,0,,3.2
546,"(1, 2, 8, 10, 17)",True,0,0,2115,12,15,0,0,,11.3
550,"(1, 2, 8, 11, 12)",True,0,0,2221,15,19,0,0,,12.0
548,"(1, 2, 8, 10, 19)",True,1,1,4373,16,24,0,0,,29.1
540,"(1, 2, 8, 10, 11)",True,1,1,12993,20,29,0,0,,109.7
551,"(1, 2, 8, 11, 13)",True,0,0,9111,20,24,0,0,,50.4
554,"(1, 2, 8, 11, 16)",True,0,0,4045,17,21,0,0,,22.1
556,"(1, 2, 8, 11, 18)",True,0,0,295,7,11,0,0,,1.3
555,"(1, 2, 8, 11, 17)",True,0,0,3889,15,15,0,0,,24.1
558,"(1, 2, 8, 11, 20)",True,0,0,2437,17,20,0,0,,13.1
559,"(1, 2, 8, 12, 13)",True,0,0,1235,13,14,0,0,,6.7
560,"(1, 2, 8, 12, 14)",True,0,0,1697,14,15,0,0,,9.1
561,"(1, 2, 8, 12, 15)",True,0,0,1673,14,16,0,0,,9.0
553,"(1, 2, 8, 11, 15)",True,0,0,14803,18,24,0,0,,100.5
562,"(1, 2, 8, 12, 16)",True,0,0,1963,15,17,0,0,,10.5
564,"(1, 2, 8, 12, 18)",True,0,0,237,7,11,0,0,,1.2
565,"(1, 2, 8, 12, 19)",True,0,0,299,10,14,0,0,,1.6
566,"(1, 2, 8, 12, 20)",True,0,0,995,15,19,0,0,,5.3
563,"(1, 2, 8, 12, 17)",True,0,0,2205,15,15,0,0,,11.9
552,"(1, 2, 8, 11, 14)",True,0,0,17377,19,24,0,0,,127.9
557,"(1, 2, 8, 11, 19)",True,1,1,7373,20,40,0,0,,84.5
569,"(1, 2, 8, 13, 16)",True,0,0,1367,13,14,0,0,,7.4
571,"(1, 2, 8, 13, 18)",True,0,0,297,7,11,0,0,,1.6
568,"(1, 2, 8, 13, 15)",True,0,0,3319,13,17,0,0,,18.0
567,"(1, 2, 8, 13, 14)",True,0,0,4109,13,18,0,0,,22.2
573,"(1, 2, 8, 13, 20)",True,0,0,489,11,13,0,0,,2.6
570,"(1, 2, 8, 13, 17)",True,0,0,2773,13,15,0,0,,15.0
572,"(1, 2, 8, 13, 19)",True,0,0,2597,19,24,0,0,,14.2
577,"(1, 2, 8, 14, 18)",True,0,0,297,7,11,0,0,,1.6
575,"(1, 2, 8, 14, 16)",True,0,0,2335,14,17,0,0,,12.6
579,"(1, 2, 8, 14, 20)",True,0,0,1195,14,16,0,0,,6.4
576,"(1, 2, 8, 14, 17)",True,0,0,3395,14,15,0,0,,18.3
580,"(1, 2, 8, 15, 16)",True,0,0,2421,14,18,0,0,,13.0
582,"(1, 2, 8, 15, 18)",True,0,0,297,7,11,0,0,,1.5
581,"(1, 2, 8, 15, 17)",True,0,0,3077,14,15,0,0,,16.5
584,"(1, 2, 8, 15, 20)",True,0,0,1081,14,16,0,0,,5.8
578,"(1, 2, 8, 14, 19)",True,1,1,4477,18,45,0,0,,38.1
586,"(1, 2, 8, 16, 18)",True,0,0,243,7,11,0,0,,1.3
587,"(1, 2, 8, 16, 19)",True,0,0,351,9,14,0,0,,1.8
583,"(1, 2, 8, 15, 19)",True,0,0,3267,15,24,0,0,,21.4
589,"(1, 2, 8, 17, 18)",True,0,0,295,7,11,0,0,,1.6
585,"(1, 2, 8, 16, 17)",True,0,0,2421,15,15,0,0,,13.0
590,"(1, 2, 8, 17, 19)",True,0,0,1047,11,15,0,0,,5.6
592,"(1, 2, 8, 18, 19)",True,0,0,183,6,11,0,0,,0.9
591,"(1, 2, 8, 17, 20)",True,0,0,993,15,15,0,0,,5.3
593,"(1, 2, 8, 18, 20)",True,0,0,113,7,10,0,0,,0.6
594,"(1, 2, 8, 19, 20)",True,0,0,333,12,15,0,0,,1.7
595,"(1, 2, 9, 10, 11)",True,0,0,543,11,13,0,0,,2.9
596,"(1, 2, 9, 10, 12)",True,0,0,575,11,13,0,0,,3.0
597,"(1, 2, 9, 10, 13)",True,0,0,633,11,13,0,0,,3.4
598,"(1, 2, 9, 10, 14)",True,0,0,623,11,13,0,0,,3.3
599,"(1, 2, 9, 10, 15)",True,0,0,565,11,13,0,0,,3.0
600,"(1, 2, 9, 10, 16)",True,0,0,531,11,13,0,0,,2.8
602,"(1, 2, 9, 10, 18)",True,0,0,255,9,12,0,0,,1.3
603,"(1, 2, 9, 10, 19)",True,0,0,111,7,8,0,0,,0.5
601,"(1, 2, 9, 10, 17)",True,0,0,661,11,13,0,0,,3.5
604,"(1, 2, 9, 10, 20)",True,0,0,171,10,12,0,0,,0.9
606,"(1, 2, 9, 11, 13)",True,0,0,1017,12,14,0,0,,5.4
605,"(1, 2, 9, 11, 12)",True,0,0,1289,13,16,0,0,,6.9
607,"(1, 2, 9, 11, 14)",True,0,0,1823,14,18,0,0,,9.9
608,"(1, 2, 9, 11, 15)",True,0,0,1859,15,19,0,0,,10.0
610,"(1, 2, 9, 11, 17)",True,0,0,1617,13,15,0,0,,8.7
611,"(1, 2, 9, 11, 18)",True,0,0,253,8,12,0,0,,1.3
612,"(1, 2, 9, 11, 19)",True,0,0,111,7,8,0,0,,0.6
609,"(1, 2, 9, 11, 16)",True,0,0,2553,16,22,0,0,,13.8
614,"(1, 2, 9, 12, 13)",True,0,0,953,12,14,0,0,,5.1
613,"(1, 2, 9, 11, 20)",True,0,0,1497,17,24,0,0,,8.1
615,"(1, 2, 9, 12, 14)",True,0,0,1249,13,15,0,0,,6.7
616,"(1, 2, 9, 12, 15)",True,0,0,1363,13,16,0,0,,7.3
617,"(1, 2, 9, 12, 16)",True,0,0,1467,13,17,0,0,,7.8
619,"(1, 2, 9, 12, 18)",True,0,0,367,9,16,0,0,,1.9
620,"(1, 2, 9, 12, 19)",True,0,0,109,7,8,0,0,,0.5
574,"(1, 2, 8, 14, 15)",True,0,0,17235,20,24,0,0,,130.0
618,"(1, 2, 9, 12, 17)",True,0,0,1897,13,15,0,0,,10.2
621,"(1, 2, 9, 12, 20)",True,0,0,1037,15,20,0,0,,5.6
622,"(1, 2, 9, 13, 14)",True,0,0,1349,12,15,0,0,,7.2
623,"(1, 2, 9, 13, 15)",True,0,0,1287,12,18,0,0,,6.9
626,"(1, 2, 9, 13, 18)",True,0,0,275,8,12,0,0,,1.4
627,"(1, 2, 9, 13, 19)",True,0,0,111,7,8,0,0,,0.5
624,"(1, 2, 9, 13, 16)",True,0,0,973,12,14,0,0,,5.2
628,"(1, 2, 9, 13, 20)",True,0,0,233,10,12,0,0,,1.2
625,"(1, 2, 9, 13, 17)",True,0,0,1315,12,15,0,0,,7.0
630,"(1, 2, 9, 14, 16)",True,0,0,1565,14,17,0,0,,8.4
588,"(1, 2, 8, 16, 20)",True,1,1,7469,47,60,0,0,,101.3
632,"(1, 2, 9, 14, 18)",True,0,0,267,8,12,0,0,,1.4
633,"(1, 2, 9, 14, 19)",True,0,0,111,7,8,0,0,,0.6
631,"(1, 2, 9, 14, 17)",True,0,0,1777,13,15,0,0,,9.6
634,"(1, 2, 9, 14, 20)",True,0,0,461,13,16,0,0,,2.4
637,"(1, 2, 9, 15, 18)",True,0,0,301,9,13,0,0,,1.6
638,"(1, 2, 9, 15, 19)",True,0,0,111,7,8,0,0,,0.5
639,"(1, 2, 9, 15, 20)",True,0,0,521,13,15,0,0,,2.8
635,"(1, 2, 9, 15, 16)",True,0,0,1621,14,18,0,0,,8.7
641,"(1, 2, 9, 16, 18)",True,0,0,223,8,12,0,0,,1.2
642,"(1, 2, 9, 16, 19)",True,0,0,111,7,8,0,0,,0.5
629,"(1, 2, 9, 14, 15)",True,0,0,3841,17,24,0,0,,22.1
636,"(1, 2, 9, 15, 17)",True,0,0,1855,13,15,0,0,,10.1
645,"(1, 2, 9, 17, 19)",True,0,0,111,7,8,0,0,,0.6
644,"(1, 2, 9, 17, 18)",True,0,0,421,9,15,0,0,,2.3
647,"(1, 2, 9, 18, 19)",True,0,0,87,6,8,0,0,,0.4
648,"(1, 2, 9, 18, 20)",True,0,0,213,9,15,0,0,,1.1
649,"(1, 2, 9, 19, 20)",True,0,0,57,7,7,0,0,,0.3
640,"(1, 2, 9, 16, 17)",True,0,0,1695,13,15,0,0,,9.2
646,"(1, 2, 9, 17, 20)",True,0,0,911,13,15,0,0,,4.9
650,"(1, 2, 10, 11, 12)",True,0,0,1327,11,15,0,0,,7.1
651,"(1, 2, 10, 11, 13)",True,0,0,5269,15,19,0,0,,28.6
654,"(1, 2, 10, 11, 16)",True,0,0,1517,12,15,0,0,,8.2
653,"(1, 2, 10, 11, 15)",True,0,0,7577,19,24,0,0,,41.1
656,"(1, 2, 10, 11, 18)",True,0,0,633,9,14,0,0,,3.4
655,"(1, 2, 10, 11, 17)",True,0,0,2917,13,15,0,0,,15.8
658,"(1, 2, 10, 11, 20)",True,0,0,669,13,15,0,0,,3.6
652,"(1, 2, 10, 11, 14)",True,0,0,11229,20,24,0,0,,60.8
659,"(1, 2, 10, 12, 13)",True,0,0,1485,11,14,0,0,,8.0
643,"(1, 2, 9, 16, 20)",True,1,1,5077,47,60,0,0,,77.8
660,"(1, 2, 10, 12, 14)",True,0,0,1917,12,15,0,0,,10.3
661,"(1, 2, 10, 12, 15)",True,0,0,2199,12,17,0,0,,11.8
664,"(1, 2, 10, 12, 18)",True,0,0,1557,13,19,0,0,,8.4
